,Unnamed: 0,고유번호,법정동코드,지목,토지면적,geometry,주소,공시지가,위도,경도,pixel_polygon
74,74,4482525321107840000,4482525321,전,499.0,"POLYGON ((141152.14810322569 437849.34397077793, 141145.4571450156 437849.921866489, 141134.8321561324 437854.5396727765, 141135.79611581488 437856.7536703495, 141139.6300733072 437857.66572066274, 141142.63303381298 437858.795756917, 141144.96899242458 437860.3887796933, 141149.20091559854 437863.3988200125, 141155.53778966182 437868.6358748446, 141159.688802994 437865.6479595174, 141163.3888121682 437863.166033612, 141178.97979558635 437856.4083177281, 141179.22279532198 437856.30332215514, 141187.83178772705 437852.4674798307, 141191.13079820678 437850.1005470651, 141190.08382686568 437848.7095419998, 141188.5648290082 437849.33251458814, 141184.41383487423 437851.0344396831, 141179.20988774527 437850.1193689351, 141171.00691112486 437852.6932269088, 141166.93992911157 437853.5411597446, 141164.4569942518 437850.4311462964, 141163.12300670554 437850.2701276018, 141154.07209121052 437849.1780007632, 141152.14810322569 437849.34397077793))",충청남도 태안군 안면읍 승언리 784,26700,36.5372099,126.3429205,"POLYGON ((224.9123698507496 287.4672762551602, 195.7134987508257 285.13604871366715, 149.23655707822206 265.22638301681087, 153.37477565380496 255.49948777908511, 170.06887850566477 251.38969204877256, 183.13221346310092 246.3499125795859, 193.27272447081702 239.30205470517467, 211.6400256599287 225.990470850966, 239.12147863340982 202.86086322484044, 257.3145470956647 215.8247831526101, 273.5255431067826 226.5857961423361, 341.72467184859715 255.72065921380567, 342.7876070049427 256.1733098947667, 380.448702260695 272.7182162871286, 394.9073178599023 282.98756153390644, 390.382501458511 289.11192815730726, 383.73906702228624 286.4285058155136, 365.5844379272313 279.09759246829015, 342.9153996980598 283.2614911830173, 307.06265261508895 272.2323976437349, 289.2998367380972 268.6397827379149, 278.5634690565818 282.33693944710905, 272.75026658783776 283.0821495526431, 233.30851142027103 288.1367317367926, 224.9123698507496 287.4672762551602))"
75,75,4421038037102920003,4421038037,전,1005.0,"POLYGON ((158830.70837172616 464527.1457660134, 158830.56444127954 464522.65779836965, 158828.24250704912 464519.5087871973, 158829.37859341534 464513.27785249683, 158812.31061114557 464520.6615352909, 158801.28102131438 464499.29353155836, 158801.30197757788 464502.1505098791, 158788.43102156935 464505.7112861325, 158788.54185034698 464516.88120182406, 158787.77475032106 464523.82313667604, 158787.1874705964 464542.4559842553, 158793.55544167687 464541.16309134825, 158830.70837172616 464527.1457660134))",충청남도 서산시 운산면 상성리 292-3,24400,36.7784288,126.5385376,"POLYGON ((366.05888859696665 238.57732717634326, 365.52547633164806 258.23903236384285, 355.4646751454677 272.08167894034955, 360.5506264444066 299.351089497707, 285.95433394848277 267.3686966482621, 238.29882361647321 361.200035385693, 238.33012978885216 348.6851565657464, 182.11934935804533 333.35981073838377, 182.36770219181665 284.42983416869373, 178.87597350642505 254.03825463371987, 175.92252349750112 172.4331174718027, 203.7233572558921 177.96182231082543, 366.05888859696665 238.57732717634326))"
76,76,4427038022107700000,4427038022,전,635.0,"POLYGON ((176471.6980716217 477646.94096358964, 176486.78112697758 477635.9352818053, 176494.154218857 477626.36946954957, 176492.02529158545 477622.72146463336, 176482.69754318942 477611.0684097941, 176468.55153743675 477618.4091342784, 176463.41430431616 477635.994919487, 176471.6980716217 477646.94096358964))",충청남도 당진시 신평면 초대리 770,48100,36.8971373,126.7360703,"POLYGON ((239.02092230609153 182.38670429442857, 304.93870099596387 230.41234081457088, 337.2118618207798 272.224329161751, 327.97049232074664 288.2295040887204, 287.4279420779843 339.3864752940314, 225.64150646862353 307.4031721760807, 203.02318837277917 230.43418899263975, 239.02092230609153 182.38670429442857))"
77,77,4420038030100860009,4420038030,전,307.0,"POLYGON ((191401.7047078053 470793.6459265186, 191388.19988421767 470788.7967528762, 191380.22212699134 470777.02871739847, 191367.87214111397 470782.05348732264, 191370.9939819513 470790.78147013334, 191372.52896384828 470791.2074908121, 191377.26690801024 470792.51955466555, 191401.3116062426 470800.3608697975, 191401.7047078053 470793.6459265186))",충청남도 아산시 인주면 도흥리 86-9,34700,36.8357502,126.9034027,"POLYGON ((336.4623311482352 237.79065527071813, 277.5814449689678 259.0916810842425, 242.83780518835397 310.6756864679719, 188.9503750474559 288.71992894904673, 202.52795585393525 250.47404036295174, 209.22100613326393 248.6010947001276, 229.88009324370046 242.83273418708404, 334.7182497039884 208.37826357055405, 336.4623311482352 237.79065527071813))"
78,78,4413331034101920004,4413331034,전,669.0,"POLYGON ((215967.88428490958 482169.2893142688, 215967.7434421753 482159.42538571986, 215966.13965411994 482146.7934546715, 215962.97795980534 482128.9715377129, 215958.5360957208 482122.46751593804, 215947.9498619385 482142.1812010077, 215941.90173022347 482153.32702195295, 215940.71468105444 482156.9869758096, 215955.0574991898 482161.760167338, 215961.14140745383 482164.70624169894, 215967.88428490958 482169.2893142688))",충청남도 천안시 서북구 입장면 산정리 192-4,53700,36.9380035,127.1790913,"POLYGON ((316.0511374720029 161.76663709103263, 315.35596394080073 204.97252000142657, 308.25741784566367 260.29105994398685, 294.3215072005128 338.33051296307656, 274.8949311701347 366.7835690938366, 228.88434894516524 280.34445784511485, 202.59650932172855 231.47259443995785, 197.44911651836182 215.43111042528497, 260.04490982594507 194.64102952517163, 286.6042429293203 181.7863883406191, 316.0511374720029 161.76663709103263))"
79,79,4480033024110760002,4480033024,전,2490.0,"POLYGON ((170287.87700329855 437545.3387557098, 170306.53677093328 437551.6289922411, 170316.03972752302 437549.89314925123, 170349.05476145202 437531.684784848, 170420.86182417325 437492.8151618267, 170407.16202779525 437486.01900426485, 170399.8020066544 437490.9728559555, 170382.45923791785 437484.1166435737, 170374.76119288013 437490.8094772706, 170343.26984730636 437528.82371825515, 170325.2562862285 437508.6035945908, 170308.7391926478 437522.7632392469, 170295.63502801422 437539.9559132336, 170287.87700329855 437545.3387557098))",충청남도 홍성군 홍동면 홍원리 1076-2,17200,36.5354927,126.6690802,"POLYGON ((-85.26373471341316 128.64034779070997, -3.9719967921799366 100.80392599795667, 37.50211442721243 108.26447719682784, 181.77347827087746 187.52933677873935, 495.54785632506685 356.71891612217615, 435.8970883774676 386.6958591080205, 403.72170055320254 365.1059632211252, 328.182877359024 395.4009617951774, 294.50705243481866 366.1985452378204, 156.5850308397654 200.14958183525277, 78.3210581389377 288.9965153627786, 6.067807108311882 227.21863737489412, -51.34549112454607 152.10302609883584, -85.26373471341316 128.64034779070997))"
80,80,4479037029103500001,4479037029,전,1140.0,"POLYGON ((182482.51011294022 420773.6589473059, 182484.11417970204 420768.50300864014, 182468.62141667627 420760.14883366774, 182470.0534890308 420754.70489445986, 182480.76862442528 420740.7441571558, 182475.51768147983 420739.44708684075, 182469.82972212273 420739.43700066, 182463.71172113658 420742.374886798, 182453.42276606508 420744.2427173686, 182447.35585728037 420741.0756481028, 182440.6936405418 420758.49842201546, 182454.5463321819 420772.3305327898, 182463.6201543527 420779.797616789, 182470.37601771601 420785.63667732314, 182473.2220374943 420782.99573943776, 182474.65800460262 420784.49075048184, 182477.03904188963 420780.9138122639, 182482.51011294022 420773.6589473059))",충청남도 청양군 남양면 온직리 350-1,12700,36.3847721,126.8045436,"POLYGON ((341.2815182299119 185.90430630130092, 348.3233793384429 208.476783072461, 280.822839559981 245.21125278128338, 287.1170854869735 269.0468900435681, 333.97594764446546 330.10993413967407, 311.0846032339993 335.83853428037014, 286.2757980455193 335.9331143168101, 259.56528277186345 323.11730581735327, 214.67194086462703 315.02611230659437, 188.23816595741368 328.95395096840826, 159.02592082119406 252.68892663514225, 219.32451296150177 191.97152787355637, 258.8356033999475 159.1799296372792, 288.2509425197743 133.54081286825033, 300.6876506316763 145.08478239308278, 306.9376826828605 138.5228483757125, 317.3545371604596 154.17129028867532, 341.2815182299119 185.90430630130092))"
81,81,4476032035103780000,4476032035,전,704.0,"POLYGON ((186149.13166710857 414673.5770935868, 186148.66072633272 414669.8871126624, 186148.9047869424 414665.7731455856, 186147.3528925638 414659.52316646994, 186144.92600809253 414653.02617585077, 186142.42110453424 414647.82517484436, 186140.05715932086 414645.3081569044, 186134.2991569734 414648.140049545, 186123.56519266826 414650.7748681883, 186118.39518121106 414653.9347674057, 186118.1021113585 414658.6817292428, 186123.21202701592 414661.87278399896, 186127.83191007047 414667.4438144241, 186125.81983905338 414673.06674398994, 186128.62369561393 414681.23072847736, 186137.13766436197 414679.33487094945, 186149.13166710857 414673.5770935868))",충청남도 부여군 은산면 금공리 378,12500,36.3299015,126.8455584,"POLYGON ((325.4143469322031 206.37296262807888, 323.3859228540832 222.54117995390163, 324.4790612750183 240.56178329920664, 317.75367508116835 267.95229665736093, 307.21359190279475 296.43102575392777, 296.32420969831253 319.23288183666324, 286.0309695642862 330.2758653838474, 260.89671339223304 317.91028823519844, 214.06027327625364 306.44289035393604, 191.48831839202785 292.6363249051088, 190.17694211203317 271.84306939276394, 212.4425234345706 257.8280396243397, 232.55416997511176 233.39034659570618, 223.73896238191998 208.7717156811536, 235.91162823310498 172.98762368130627, 273.0601451209535 181.23336020998443, 325.4143469322031 206.37296262807888))"
82,82,4421038024100500000,4421038024,전,1494.0,"POLYGON ((166563.75574336192 463989.39908709686, 166565.77854913354 464001.0810287842, 166564.8035006936 464004.72698598297, 166564.6863714926 464013.2219192609, 166577.5653559334 464007.8611574725, 166585.04512735628 464019.08418624336, 166597.23111850722 464013.62841457233, 166599.47114005266 464011.11246810725, 166601.44022815453 464004.3845496883, 166598.9452838396 464001.98352982954, 166599.83731764203 463999.3345637374, 166605.5513165387 463996.5776723184, 166608.27031601378 463995.265723987, 166611.97834591023 463991.47780972626, 166613.32939348856 463987.7018592775, 166606.49753591564 463981.78379987914, 166600.82359028223 463981.04271864705, 166597.49767280347 463977.30069631326, 166594.60075372417 463973.45068137295, 166594.33182629838 463968.8447124595, 166590.38690512136 463965.65067645593, 166582.58793997855 463967.2355449031, 166581.78982831852 463974.9224739303, 166579.1767596777 463980.6983897645, 166572.85882451743 463979.5923014624, 166568.11083846557 463981.0322177432, 166570.3177289964 463987.0882052519, 166563.75574336192 463989.39908709686))",충청남도 서산시 운산면 고풍리 50,24600,36.7739915,126.6256878,"POLYGON ((170.34274711393928 289.15321595645634, 178.96582274175285 237.94747062156785, 174.65092141112336 221.9935914113143, 173.99507188844723 184.78476221070053, 230.25829442242951 208.04608600427488, 262.68990151709437 158.75706518819936, 315.9322348184389 182.44656794104418, 325.74499917677355 193.42895200235048, 334.44789093130595 222.86591791261137, 323.60712657895294 233.42596359998214, 327.54289645487495 245.01410533083666, 352.5114912200157 256.9924379671655, 364.39276275211154 262.692690837796, 380.62988223122204 279.22163236049954, 386.5868221559423 295.7385174962331, 356.8906063006135 321.77868039303297, 332.15638594709264 325.12202727479513, 317.71423745106574 341.57037330270225, 305.14501341129073 358.4844240025594, 304.050633429224 378.6648179225482, 286.8993993730408 392.72340151942103, 252.85732345967077 385.9147100121892, 249.24524360539405 352.2568906953521, 237.74984288986923 327.00108866177106, 210.2131125556212 331.95441221424926, 189.4802535287165 325.7284385358997, 199.0022381017264 299.1632282664226, 170.34274711393928 289.15321595645634))"
83,83,4420038026102980003,4420038026,전,364.0,"POLYGON ((188403.32982026672 472809.171051866, 188417.10279649496 472804.04730486864, 188421.58378875972 472802.38038717874, 188420.44883566484 472799.91238821653, 188411.9071888344 472781.32739609876, 188399.5111570711 472789.3571425092, 188401.37405655463 472794.9211293533, 188403.32982026672 472809.171051866))",충청남도 아산시 인주면 문방리 298-3,58800,36.8537901,126.8700481,"POLYGON ((223.98380828748043 194.00712769373234, 284.0859504130599 216.36901347978042, 303.63996764102427 223.64406530222112, 298.70442845732 234.4615962371487, 261.55976072942144 315.921804157704, 207.44612666886698 280.822357856788, 215.53822984565903 256.4388690471572, 223.98380828748043 194.00712769373234))"
