,Unnamed: 0,고유번호,건물식별번호,허가일자,사용승인일자,geometry,주소
41291,41291,4413310700109670000,17482,2001-03-22,2003-04-22,"POLYGON ((211590.3572222868 467415.06878749747, 211588.33039504048 467405.0138298308, 211569.94648582066 467407.79752052226, 211569.97950021652 467406.8655279139, 211569.9015149878 467405.961533358, 211569.63255163404 467403.7535454215, 211567.97659660596 467401.66153484094, 211565.3656660013 467398.45951745065, 211563.15170875716 467396.76849514886, 211558.9227637453 467395.2374400136, 211555.47079098047 467395.1113867202, 211552.0777965189 467396.3393243661, 211549.53877900407 467398.6372675329, 211547.2757469215 467401.7342091412, 211546.0837008463 467405.223164678, 211545.62565004456 467408.6711320496, 211545.60159477626 467412.20110563224, 211547.8784207766 467422.2190674922, 211590.3572222868 467415.06878749747))",충청남도 천안시 서북구 쌍용동 967
406164,406164,4482525033102880000,100235258,2019-06-30,2019-11-05,"POLYGON ((135723.43116192135 465420.86045300437, 135733.35814669635 465416.7336350448, 135729.42332000015 465407.2696501376, 135719.49733522 465411.39646811155, 135723.43116192135 465420.86045300437))",충청남도 태안군 태안읍 삭선리 288
109959,109959,4418010100103160001,2415,1996-05-01,1997-02-27,"POLYGON ((163524.24670383905 416679.10686080664, 163519.56677142179 416676.8468071512, 163519.0867473322 416678.6867865867, 163517.37676520052 416678.31676366675, 163515.63668370928 416684.5966919523, 163516.40667291402 416684.9467009395, 163515.6166245527 416688.556662861, 163521.49654082878 416691.3167308499, 163524.24670383905 416679.10686080664))",충청남도 보령시 대천동 316-1
395740,395740,4481031021104840000,5970,,,"POLYGON ((190399.20026490223 449737.47531574476, 190391.12029466074 449739.3751771719, 190391.59022293353 449743.80515177234, 190399.54018548914 449742.46528421785, 190399.20026490223 449737.47531574476))",충청남도 예산군 대술면 화천리 484
279295,279295,4471025024102760013,7091,1985-07-13,1986-01-17,"POLYGON ((244070.8538224728 390425.89345502976, 244069.09300537882 390414.8135000373, 244064.09301866172 390416.0434146025, 244064.0830037117 390417.0134081199, 244059.09301940768 390418.08332388516, 244059.14299075576 390419.9133127243, 244057.1629950433 390420.46327847906, 244058.53386882457 390428.0442502523, 244070.8538224728 390425.89345502976))",충청남도 금산군 금산읍 상리 276-13
235303,235303,4427031021100040002,18458,,2002-10-24,"POLYGON ((165608.93503775145 480960.8594696879, 165605.94211718408 480957.2084519657, 165596.44308304793 480964.18225115916, 165605.2788352844 480975.8212967783, 165610.99486045452 480971.3244199527, 165609.3809050475 480969.2414112844, 165610.95791166084 480968.02244509716, 165609.91094009503 480966.70343922416, 165611.03894511302 480965.8124635607, 165607.83903178657 480961.79544549447, 165608.93503775145 480960.8594696879))",충청남도 당진시 고대면 용두리 4-2
27535,27535,4413134026101680003,63138,,1978-11-01,"POLYGON ((219763.24964439127 461893.2147589553, 219756.42974917477 461889.6846773032, 219750.8796225751 461900.2745128713, 219757.3395106322 461904.4245843442, 219763.24964439127 461893.2147589553))",충청남도 천안시 동남구 성남면 용원리 168-3
85158,85158,4415039022104510000,40820,,1984-07-03,"POLYGON ((202682.29767149378 432165.0621075159, 202668.63779118974 432163.57190773264, 202667.9676847279 432170.7918458416, 202681.017568268 432172.35203573323, 202682.29767149378 432165.0621075159))",충청남도 공주시 사곡면 신영리 451
370236,370236,4480025026101020018,100237152,2015-12-17,2016-12-07,"POLYGON ((170379.5318658224 443755.34802154097, 170377.36394635448 443751.1080201416, 170354.47323408973 443743.3147299158, 170352.08114201686 443750.52863977954, 170365.27697615395 443755.0208070879, 170365.00896344942 443755.98579582124, 170366.83293977607 443756.6558185839, 170365.62690424974 443759.5767784716, 170376.7387679344 443763.13892100344, 170379.5318658224 443755.34802154097))",충청남도 홍성군 홍성읍 남장리 102-18
30338,30338,4413131025102430012,9076,,2003-12-15,"POLYGON ((211026.53858907823 461980.23492109624, 211013.94875289584 461975.6247576523, 211012.84870559734 461979.15471452544, 211025.6985453715 461983.4148846073, 211026.53858907823 461980.23492109624))",충청남도 천안시 동남구 풍세면 남관리 243-12
307045,307045,4476025033103220000,6193,,,"POLYGON ((193472.5929123234 408179.0239313467, 193461.42301955228 408177.06677559175, 193460.27591726783 408184.3347073052, 193471.88784666487 408183.6748880898, 193472.5929123234 408179.0239313467))",충청남도 부여군 부여읍 가탑리 322
152007,152007,4421040029102250000,100190160,2010-04-22,2010-08-11,"POLYGON ((157941.25614138576 452032.7278254138, 157941.10119046943 452029.5678470859, 157943.53617388126 452029.4508848998, 157943.07125121664 452024.5819148633, 157937.4132852367 452025.1518247314, 157937.0663227445 452022.8508369633, 157931.99935488834 452023.2507570866, 157932.1133245823 452025.19274405215, 157927.83335685777 452025.1926791511, 157928.29927802907 452030.15964845975, 157933.76224095767 452029.8877333644, 157934.0171901493 452033.11171272513, 157941.25614138576 452032.7278254138))",충청남도 서산시 고북면 기포리 225
58379,58379,4413310400115960000,19392,2001-11-08,2003-08-21,"POLYGON ((213098.89817494593 471103.23726691486, 213098.87036601483 471091.11335616297, 213050.1697269928 471090.8805911285, 213050.37054352157 471102.44150876824, 213098.89817494593 471103.23726691486))",충청남도 천안시 서북구 두정동 1596
328822,328822,4479036029100490004,100209830,2016-01-25,2017-05-22,"POLYGON ((188255.55999466855 414857.6877250711, 188319.97438863743 414867.7756309798, 188322.17158604422 414853.7467637862, 188257.75719206908 414843.65885788115, 188255.55999466855 414857.6877250711))",충청남도 청양군 장평면 구룡리 49-4
23926,23926,4413112000105890006,54131,1999-04-01,1999-05-21,"POLYGON ((212378.61065961872 463134.3956516321, 212366.0497833553 463132.3334697224, 212364.7166453193 463141.75237970904, 212377.56652838786 463143.24657031946, 212378.61065961872 463134.3956516321))",충청남도 천안시 동남구 구룡동 589-6
